[2025-09-13 21:02:31] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 1: Procesando 3 coordenadas
[2025-09-13 21:02:31] [ERROR] Usuario: WilliamsWick | IP: ::1 | ACTUALIZACION_FALLIDA | Piso 1: Sin actualizaciones. Errores: 1
[2025-09-13 21:02:51] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 1: Procesando 3 coordenadas
[2025-09-13 21:02:51] [ERROR] Usuario: WilliamsWick | IP: ::1 | ACTUALIZACION_FALLIDA | Piso 1: Sin actualizaciones. Errores: 1
[2025-09-13 21:08:33] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:08:33] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:08:38] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:08:39] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:08:40] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:08:40] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 3 equipos cargados. Conectados: 0, Desconectados: 3
[2025-09-13 21:09:51] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:09:51] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:09:57] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:09:57] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:10:00] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:10:00] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 3 equipos cargados. Conectados: 0, Desconectados: 3
[2025-09-13 21:10:18] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:10:18] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 21:10:57] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:10:57] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:11:01] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:11:01] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:11:04] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:11:04] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:11:16] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 1: Procesando 2 coordenadas
[2025-09-13 21:11:16] [ERROR] Usuario: WilliamsWick | IP: ::1 | ACTUALIZACION_FALLIDA | Piso 1: Sin actualizaciones. Errores: 1
[2025-09-13 21:22:03] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:22:03] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 21:22:05] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:22:05] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:22:06] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:22:06] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:23:52] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:23:52] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 21:23:54] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:23:54] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:23:55] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:23:55] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:24:04] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 1: Procesando 2 coordenadas
[2025-09-13 21:24:04] [ERROR] Usuario: WilliamsWick | IP: ::1 | ACTUALIZACION_FALLIDA | Piso 1: Sin actualizaciones. Errores: 1
[2025-09-13 21:34:07] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 1: Procesando 2 coordenadas
[2025-09-13 21:34:07] [INFO] Usuario: WilliamsWick | IP: ::1 | COORD_ACTUALIZADA | Equipo 2: Coordenadas (211, 142) en piso 1
[2025-09-13 21:34:07] [INFO] Usuario: WilliamsWick | IP: ::1 | COORD_ACTUALIZADA | Equipo 1: Coordenadas (46, 151) en piso 1
[2025-09-13 21:34:07] [INFO] Usuario: WilliamsWick | IP: ::1 | BATCH_UPDATE_SUCCESS | Actualizadas 2 coordenadas. Errores: 0, Advertencias: 0
[2025-09-13 21:34:07] [INFO] Usuario: WilliamsWick | IP: ::1 | ACTUALIZACION_EXITOSA | Piso 1: 2 coordenadas actualizadas. Errores: 0, Advertencias: 0
[2025-09-13 21:34:27] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:34:27] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 21:34:38] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 2: Procesando 1 coordenadas
[2025-09-13 21:34:38] [INFO] Usuario: WilliamsWick | IP: ::1 | COORD_ACTUALIZADA | Equipo 3: Coordenadas (37, 234) en piso 2
[2025-09-13 21:34:38] [INFO] Usuario: WilliamsWick | IP: ::1 | BATCH_UPDATE_SUCCESS | Actualizadas 1 coordenadas. Errores: 0, Advertencias: 0
[2025-09-13 21:34:38] [INFO] Usuario: WilliamsWick | IP: ::1 | ACTUALIZACION_EXITOSA | Piso 2: 1 coordenadas actualizadas. Errores: 0, Advertencias: 0
[2025-09-13 21:34:45] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:34:45] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:34:46] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:34:46] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:34:47] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:34:47] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 21:34:48] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:34:48] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:36:21] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 2
[2025-09-13 21:36:21] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 2: 1 equipos cargados. Conectados: 0, Desconectados: 1
[2025-09-13 21:36:24] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 3
[2025-09-13 21:36:24] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 3: 0 equipos cargados. Conectados: 0, Desconectados: 0
[2025-09-13 21:36:26] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO | Solicitando equipos del piso 1
[2025-09-13 21:36:26] [INFO] Usuario: WilliamsWick | IP: ::1 | CARGA_PISO_EXITOSA | Piso 1: 2 equipos cargados. Conectados: 0, Desconectados: 2
[2025-09-13 21:47:17] [INFO] Usuario: WilliamsWick | IP: ::1 | INICIO_ACTUALIZACION | Piso 1: Procesando 2 coordenadas
